# 로컬 폴백용 — 구글 시트 fetch가 안 될 때(또는 loader.js의 새 부팅 순서에서는
# 이제 반대로 이 파일이 먼저다: 부팅은 이 값으로 하고, 시트는 뒤에서 받아
# 조용히 갈아 끼운다 — js/balance/loader.js의 loadGameData 주석 참고) 쓰인다.
#
# ★ 2026-09-08: 그동안 이 파일이 통째로 주석 처리돼 있어서(섹션이 하나도 없는
#   상태) 로컬 폴백이 항상 실패하고 있었다 — 시트가 실패하면 곧장 3단계
#   하드코딩(방해꾼 4종)으로 떨어졌다는 뜻이다. 로딩 성능 점검 중 발견해서
#   그 시점의 구글 시트 값을 그대로 받아와 채웠다(방해꾼 12종·난이도 3행·
#   stage 17개 키 — 콘솔 로그 "방해꾼 12종"과 일치 확인).
#
# ★ 이 파일은 시트의 스냅샷이다 — 시트를 고치면 이 파일은 저절로 안 따라온다.
#   시트를 크게 바꿨다면(방해꾼 추가/제거, 해상도 변경 등) 제출 전에 한 번 더
#   이 파일을 최신화할 것. (부팅은 이 스냅샷으로 하고 시트는 뒤에서 따라와
#   맞추지만, 그 반영은 타이틀 화면에 있을 때만 조용히 일어난다 — 판이 이미
#   진행 중이면 이번 판엔 안 바뀐다.)

[difficulty]
difficulty,spawn_interval,max_alive,dps_multiplier,lifetime_multiplier,note
easy,2.5,5,0.5,1.25,널널함. 여유 2.35초
normal,0.8,11,1,0.85,적당. 여유 1.35초
hard,1,11,1.5,0.75,인간 한계선. 여유 0.55초. 더 낮추면 불가능

[enemies]
id,name_kr,type,size_w,size_h,hit_w,hit_h,speed,move_pattern,hp,dps,stops_upload,lifetime,weight,min_stage,action,special_effect,note
basic,기본 잡몹,B,90,90,100,100,60,직선+벽반사,1,2,FALSE,8,35,1,click,,기본 손맛 담당
ransom,랜섬웨어 자물쇠,B,110,110,120,120,30,직선+벽반사,3,3,FALSE,10,15,1,click,,탱커. 여러번 때리는 맛
clone,복제 바이러스,B,100,100,110,110,50,떠다님,1,1,FALSE,12,5,1,click,분열 대100→중70x2→소50x4,총7클릭이라 dps 낮춤
popup,팝업 광고창,B,200,200,260,40,20,살짝 떠다님,0,0,FALSE,10,10,1,drag,화면 가림,히트박스는 제목표시줄만
bomb,크래시 폭탄,A,120,120,130,130,40,배회,1,0,FALSE,4,5,2,click,수명만료시 -20%,긴급함이 핵심이라 수명 짧게
fake_btn,업데이트 취소 버튼,TRAP,140,140,180,60,200,커서쪽 접근,0,0,FALSE,8,5,2,none,잘못클릭시 -10%,함정. 누르면 안 됨
copier,복사기,B,100,100,110,110,80,좌우 왕복,1,1,FALSE,6,2,4,click,가짜커서 8개 5초간,강력해서 하루 1-2회만 — 2026-09-10 weight 5→2로 note와 실제 빈도를 맞췄다
unplug,전원 뽑는 손,A,140,100,140,100,400,화면밖→안 진입후 정지,2,0,TRUE,3,5,3,click,,업로드 정지라 수명 짧게
bait,시선 강탈,FAKE,80,80,0,0,250,빠르게 설침,-1,0,FALSE,5,10,1,none,클릭 무반응,안죽음. 손 낭비시키는게 dps
hidden,숨은 놈,B,60,60,70,70,15,아주 느림,1,0,FALSE,15,5,4,click,수명만료시 다음파일 -15MB,완전위장 X 살짝 삐져나옴
hourglass,모래시계 함정,B,90,110,90,110,25,떠다님,0,0,FALSE,7,8,3,none,클릭시 조작불능 4초+콤보리셋,함정. 무시가 정답
zombie,좀비 프로세스,B,90,90,100,100,45,직선+벽반사,1,2,FALSE,9,12,4,click,처치 3초 후 1회 부활,부활 대기도 동시상한에 포함

[stage]
key,value,unit,note
time_limit,180,sec,하루 제한시간 3분
quota,180,MB,할당량 — 2026-09-10 밸런스 재설계: 동시상한 축소와 세트로 250→180 (game/js/balance/progression.js FINITE_MAX_ALIVE 주석 참고)
skip_limit,3,회,하루 파일 스킵 횟수
canvas_w,960,px,기준 해상도
canvas_h,540,px,기준 해상도
min_hitbox,60,px,이보다 작으면 정확도 급락
hitbox_padding,10,px,그림보다 히트박스를 이만큼 크게
min_gap,20,px,방해꾼 간 최소 간격
direction_change_min,2,sec,방향 전환 주기 최소
direction_change_max,4,sec,방향 전환 주기 최대
human_reaction,0.65,sec,클릭1회 소요. 스폰간격 설계 기준
file_small_size,30,MB,소형 파일
file_small_time,12,sec,소형 업로드 시간
file_medium_size,60,MB,중형 파일
file_medium_time,30,sec,중형 업로드 시간
file_large_size,100,MB,대형 파일
file_large_time,40,sec,대형 업로드 시간
